"sample","project","CD8","Cytotoxicity","Antigenicity","PD1","PDL1","FASLG","CXCL9","CXCL10","CCL5","Chemokine_Signature"
"TCGA-71-8520-01A-11R-2403-07","LUAD",0.840202657583,1.74604260550379,10.7699920402221,0.00468992801770594,3.29302327627303,-1.19283114127939,3.83220840277898,3.25076978725614,3.76774751175037,3.61690856726183
"TCGA-67-4679-01B-01R-1755-07","LUAD",2.62509954141995,2.3821342898255,10.0304384857386,0.906484934358681,3.1533263518618,-0.541971106840027,4.01363938762691,2.94661945356705,4.85845290389291,3.93957058169562
"TCGA-49-AAR0-01A-21R-A39D-07","LUAD",2.49312247584469,3.45827079204726,10.808269358117,3.00254866748589,2.68521433069481,-0.299953046602765,5.59407146331254,4.0188186132676,5.1727672795553,4.92855245204515
"TCGA-55-A57B-01A-12R-A39D-07","LUAD",1.20355449295546,2.23871273668581,10.0705339212009,0.780916069568217,3.13588620474277,-1.15312388915198,3.04705225073246,3.0291251738301,3.72336928210421,3.26651556888892
"TCGA-44-2656-01A-02R-A278-07","LUAD",4.82131174308845,4.69486974667524,10.1088379394028,0.318491121776232,6.14940977346892,2.24184533467824,7.74183074110293,6.90082446153675,6.54701819066541,7.06322446443503
"TCGA-05-5428-01A-01R-1628-07","LUAD",2.69838558174285,2.61085834758317,9.42671909472738,-0.32644443872315,3.27695580150581,0.363739279928308,4.48344773237272,6.16648938630384,3.84877257376369,4.83290323081342
"TCGA-NJ-A4YP-01A-11R-A262-07","LUAD",2.60780289638879,3.70549832022165,10.1059109330843,0.566833279211312,2.7537466101458,0.576277956491241,7.35801870438232,5.69487237540814,6.0215479677921,6.35814634919418
"TCGA-71-6725-01A-11R-1858-07","LUAD",-2.1612997327421,0.0070303896669988,10.3157640029073,-3.28916018148422,1.8255483701443,-4.59510331857414,0.0230912281799273,1.90396958684977,1.77508093790825,1.23404725097932
"TCGA-38-7271-01A-11R-2039-07","LUAD",4.98262515351162,5.11705207865793,11.3224201263821,4.02943773323218,3.76586642115288,0.758513636859776,7.60068299472678,4.70930745235333,7.41025155921224,6.57341400209745
"TCGA-75-7027-01A-11R-1949-07","LUAD",1.55557293523478,2.44255555585634,9.66227301693343,0.925921795130651,1.81535727909326,-0.908995174381273,4.85902820118667,3.4758808375963,4.2717926480488,4.20223389561059
"TCGA-55-6978-01A-11R-1949-07","LUAD",5.08327321337963,5.55886964897764,10.8226167909694,3.57319118204926,6.47430872359445,2.80382874517965,9.70477940553674,8.34169644587866,7.60716431368777,8.55121338836772
"TCGA-J2-8192-01A-11R-2241-07","LUAD",2.11907226159168,2.14047484264284,10.5896243234146,0.459185008052259,3.84313048869643,-0.154322554215596,4.19221369368338,3.09653889269936,4.77357772865304,4.02077677167859
"TCGA-44-4112-01B-06R-A277-07","LUAD",2.55046300736643,1.61912465863454,7.40943907351481,0.0151837869090994,3.97150847080319,-0.255825482896072,3.60775123164377,2.70360618696615,3.27780833507963,3.19638858456318
"TCGA-44-3918-01A-01R-1107-07","LUAD",4.75843165578931,5.81546866450046,11.362751871748,3.611423553296,6.45069677904393,3.27751611553913,9.32940858610722,8.16249273435343,7.43047772538833,8.30745968194966
"TCGA-44-4112-01A-01R-A278-07","LUAD",1.84625566226449,2.55776255138053,9.03026716628121,-0.140335834685352,3.15269216614627,-0.550450777821937,2.23012808794431,3.3874512903815,3.54241813727241,3.05333250519941
"TCGA-49-4490-01A-21R-1858-07","LUAD",1.69991793395644,1.89241331918113,11.2320466939142,1.15714301747948,1.31864451033841,-0.719190290681108,4.57614584368645,3.07366840709151,5.00532380450411,4.21837935176069
"TCGA-35-4123-01A-01R-1107-07","LUAD",6.44726397502185,5.71688412695699,11.2643012860647,4.46500384419277,6.21211106278889,3.36439483428941,7.38502954363339,8.48299309287615,8.4563749034119,8.10813251330715
"TCGA-MN-A4N1-01A-11R-A24X-07","LUAD",-0.192555364388153,0.376499777235221,9.92428526457445,-0.634598970630375,2.56054451050058,-2.88306333617216,1.09230664414206,0.930636848645791,2.66278109159542,1.56190819479443
"TCGA-62-8394-01A-11R-2326-07","LUAD",2.63246733453276,1.96231244354507,11.7067422425258,1.42837674804138,2.5707418919938,-0.87750920813807,4.80698196025872,4.56200587826313,4.89683902394324,4.7552756208217
"TCGA-05-4395-01A-01R-1206-07","LUAD",2.28361276775162,4.46136931989937,10.8225941771169,1.48369797281626,3.23588380888288,1.29840347684267,5.93579613333896,5.80424968859256,6.97803254893878,6.23935945695677
"TCGA-78-7539-01A-11R-2066-07","LUAD",4.08169082150554,3.96982733147846,12.6469599528955,2.92110022857456,3.62404650373613,1.75961656188766,7.02210084535401,6.28274920823032,6.70250512131746,6.66911839163393
"TCGA-MP-A4T8-01A-11R-A24X-07","LUAD",-0.109204155084737,1.18463195750228,8.65980427135516,0.401636700561409,1.63806871908141,-0.85405607693261,1.28873864411504,2.38919367353609,3.51103276373158,2.39632169379424
"TCGA-MP-A4TH-01A-31R-A262-07","LUAD",3.31678086426693,3.30537540884661,10.6963355825082,2.87514732007649,3.07791692351177,1.67125896335526,5.82990740217901,3.48185521288191,6.08017453546308,5.13064571684133
"TCGA-78-7156-01A-11R-2039-07","LUAD",1.33663222828242,1.98086940822916,9.15893987768787,-1.48998983714348,1.22012405010621,-0.297477930256517,5.51840394919371,3.70664540550456,4.34492566000768,4.52332500490198
"TCGA-86-8669-01A-11R-2403-07","LUAD",2.33335187431819,3.05634374346431,10.505515783916,2.28831841375565,2.93680268630895,0.0855018352297674,5.68748943109627,3.06867437825347,5.32078416173939,4.69231599036304
"TCGA-50-6594-01A-11R-1755-07","LUAD",0.157497531416157,2.45552819190278,10.0905328142953,3.76249943342902,7.98410297736179,-0.685588965958144,3.23265402287882,2.59998127982439,4.29758591758233,3.37674040676185
"TCGA-50-7109-01A-11R-2039-07","LUAD",3.21344962337053,4.31003826188596,10.2061848188785,2.19267492941806,2.42633431346133,1.43089496730051,6.6473211651606,5.21848792700533,5.82632719922748,5.8973787637978
"TCGA-44-7667-01A-31R-2066-07","LUAD",1.0141967918412,3.70516451720794,8.97699381360423,-0.156352418695656,1.99752990118728,-0.377418221216368,5.8116665765331,5.22466132454501,4.46206787361279,5.16613192489697
"TCGA-44-A479-01A-31R-A24H-07","LUAD",3.91510960639466,4.66387204975775,10.2982027095045,3.60490759634476,4.05033209621653,1.74076608569965,8.70585168222391,6.47277735556852,6.49567890083589,7.22476931287611
"TCGA-44-8120-01A-11R-2241-07","LUAD",1.46829386151429,2.10154849637869,9.67105551695745,0.852607498538983,2.54055009971375,-2.33490414632909,3.11557700394269,2.22683488149485,3.81403590091567,3.05214926211774
"TCGA-38-4632-01A-01R-1755-07","LUAD",3.40202682514855,3.65600702694181,10.8968947367768,3.91043950095494,4.5917517989667,-0.0167405418921655,6.12455089413764,6.19462745456208,5.26000828421441,5.85972887763805
